centro_origem,centro_destino,custo
CD_00,CD_01,178
CD_01,CD_02,72
CD_02,CD_03,291
CD_03,CD_04,365
CD_04,CD_05,447
CD_05,CD_06,243
CD_06,CD_07,351
CD_07,CD_08,346
CD_08,CD_09,452
CD_09,CD_10,365
CD_10,CD_11,295
CD_11,CD_12,213
CD_12,CD_13,188
CD_13,CD_14,493
CD_14,CD_15,266
CD_15,CD_16,316
CD_16,CD_17,207
CD_17,CD_18,143
CD_18,CD_19,229
CD_19,CD_20,338
CD_00,CD_02,441
CD_00,CD_03,439
CD_00,CD_08,453
CD_00,CD_10,460
CD_00,CD_14,267
CD_01,CD_08,272
CD_01,CD_15,439
CD_01,CD_16,257
CD_01,CD_17,499
CD_01,CD_18,277
CD_02,CD_04,449
CD_02,CD_06,459
CD_02,CD_07,378
CD_02,CD_08,451
CD_02,CD_13,451
CD_02,CD_15,312
CD_02,CD_16,205
CD_02,CD_20,276
CD_03,CD_05,212
CD_03,CD_07,147
CD_03,CD_08,288
CD_03,CD_09,489
CD_03,CD_10,401
CD_03,CD_13,260
CD_03,CD_15,473
CD_03,CD_16,77
CD_03,CD_20,412
CD_04,CD_06,88
CD_04,CD_08,140
CD_04,CD_12,92
CD_04,CD_13,229
CD_04,CD_17,237
CD_04,CD_18,251
CD_04,CD_19,389
CD_04,CD_20,67
CD_05,CD_09,337
CD_05,CD_15,352
CD_05,CD_17,117
CD_05,CD_19,128
CD_05,CD_20,95
CD_06,CD_09,165
CD_06,CD_13,68
CD_06,CD_17,119
CD_06,CD_19,111
CD_07,CD_11,349
CD_07,CD_13,126
CD_07,CD_14,385
CD_07,CD_15,270
CD_07,CD_18,414
CD_08,CD_14,121
CD_08,CD_16,186
CD_08,CD_19,345
CD_08,CD_20,476
CD_09,CD_19,442
CD_10,CD_12,63
CD_10,CD_14,307
CD_10,CD_15,200
CD_10,CD_16,96
CD_10,CD_17,317
CD_10,CD_18,477
CD_10,CD_20,340
CD_11,CD_20,381
CD_12,CD_14,222
CD_12,CD_15,358
CD_12,CD_16,376
CD_12,CD_19,390
CD_14,CD_17,296
CD_14,CD_19,270
CD_14,CD_20,202
CD_15,CD_18,485
CD_15,CD_19,404
CD_15,CD_20,141
