id_pedido,cliente,prazo_entrega,centro_origem,centro_destino
522059,Cliente_522059,25,CD_12,CD_04
823994,Cliente_823994,16,CD_18,CD_17
59619,Cliente_59619,26,CD_03,CD_09
342538,Cliente_342538,21,CD_04,CD_16
636495,Cliente_636495,22,CD_07,CD_20
796324,Cliente_796324,27,CD_00,CD_18
856169,Cliente_856169,13,CD_03,CD_05
983846,Cliente_983846,26,CD_06,CD_15
789540,Cliente_789540,23,CD_08,CD_15
393256,Cliente_393256,20,CD_09,CD_13
339213,Cliente_339213,19,CD_13,CD_06
613437,Cliente_613437,27,CD_19,CD_16
698508,Cliente_698508,16,CD_12,CD_17
778929,Cliente_778929,19,CD_14,CD_03
867873,Cliente_867873,6,CD_19,CD_05
371530,Cliente_371530,30,CD_14,CD_05
40533,Cliente_40533,7,CD_08,CD_10
168356,Cliente_168356,1,CD_01,CD_00
506854,Cliente_506854,11,CD_03,CD_20
986740,Cliente_986740,18,CD_14,CD_03
166765,Cliente_166765,23,CD_10,CD_20
735215,Cliente_735215,10,CD_18,CD_00
546210,Cliente_546210,29,CD_05,CD_09
521838,Cliente_521838,1,CD_01,CD_06
746956,Cliente_746956,24,CD_10,CD_06
974586,Cliente_974586,20,CD_20,CD_18
585224,Cliente_585224,2,CD_02,CD_18
71568,Cliente_71568,17,CD_06,CD_11
347459,Cliente_347459,8,CD_07,CD_09
804701,Cliente_804701,28,CD_17,CD_07
5498,Cliente_5498,9,CD_13,CD_20
367619,Cliente_367619,8,CD_20,CD_14
154241,Cliente_154241,15,CD_06,CD_17
731730,Cliente_731730,11,CD_09,CD_00
385400,Cliente_385400,9,CD_06,CD_16
86927,Cliente_86927,29,CD_03,CD_17
416855,Cliente_416855,13,CD_18,CD_06
21231,Cliente_21231,16,CD_14,CD_15
652067,Cliente_652067,10,CD_18,CD_14
587996,Cliente_587996,22,CD_05,CD_03
366454,Cliente_366454,11,CD_15,CD_03
129839,Cliente_129839,2,CD_16,CD_19
584634,Cliente_584634,24,CD_02,CD_17
664563,Cliente_664563,14,CD_06,CD_17
648814,Cliente_648814,29,CD_00,CD_07
452712,Cliente_452712,28,CD_20,CD_08
367135,Cliente_367135,14,CD_08,CD_05
487486,Cliente_487486,26,CD_08,CD_06
462097,Cliente_462097,20,CD_16,CD_11
262559,Cliente_262559,28,CD_08,CD_13
411035,Cliente_411035,9,CD_12,CD_16
695546,Cliente_695546,23,CD_15,CD_04
443739,Cliente_443739,7,CD_04,CD_19
453628,Cliente_453628,10,CD_06,CD_01
36801,Cliente_36801,8,CD_11,CD_03
520381,Cliente_520381,21,CD_11,CD_20
837643,Cliente_837643,15,CD_17,CD_08
909455,Cliente_909455,22,CD_06,CD_11
471572,Cliente_471572,23,CD_07,CD_04
357077,Cliente_357077,23,CD_04,CD_17
672151,Cliente_672151,18,CD_15,CD_13
382771,Cliente_382771,19,CD_18,CD_07
207939,Cliente_207939,10,CD_17,CD_12
735746,Cliente_735746,9,CD_01,CD_17
693261,Cliente_693261,10,CD_17,CD_05
234195,Cliente_234195,5,CD_13,CD_05
464219,Cliente_464219,8,CD_02,CD_18
475282,Cliente_475282,25,CD_14,CD_06
298051,Cliente_298051,5,CD_10,CD_04
899331,Cliente_899331,11,CD_16,CD_19
73387,Cliente_73387,5,CD_19,CD_20
326971,Cliente_326971,8,CD_20,CD_10
370794,Cliente_370794,6,CD_10,CD_11
531726,Cliente_531726,20,CD_05,CD_14
834980,Cliente_834980,21,CD_10,CD_18
840829,Cliente_840829,9,CD_12,CD_13
827206,Cliente_827206,23,CD_11,CD_13
40562,Cliente_40562,12,CD_14,CD_03
352838,Cliente_352838,29,CD_19,CD_02
415168,Cliente_415168,2,CD_03,CD_18
762341,Cliente_762341,25,CD_19,CD_17
136998,Cliente_136998,1,CD_16,CD_18
629742,Cliente_629742,6,CD_18,CD_08
268363,Cliente_268363,23,CD_18,CD_14
53366,Cliente_53366,20,CD_05,CD_00
523840,Cliente_523840,4,CD_00,CD_14
25883,Cliente_25883,6,CD_19,CD_03
618819,Cliente_618819,18,CD_15,CD_01
976839,Cliente_976839,12,CD_09,CD_07
755704,Cliente_755704,10,CD_11,CD_18
627308,Cliente_627308,23,CD_05,CD_13
914287,Cliente_914287,4,CD_14,CD_11
321288,Cliente_321288,17,CD_02,CD_09
783331,Cliente_783331,1,CD_08,CD_07
708768,Cliente_708768,21,CD_09,CD_14
