id_pedido,cliente,prazo_entrega,centro_origem,centro_destino
17,ClienteDesafio_17,1,CD_03,CD_05
34,ClienteDesafio_34,1,CD_01,CD_16
51,ClienteDesafio_51,1,CD_08,CD_15
68,ClienteDesafio_68,1,CD_06,CD_01
85,ClienteDesafio_85,1,CD_18,CD_03
102,ClienteDesafio_102,1,CD_20,CD_09
119,ClienteDesafio_119,1,CD_19,CD_10
136,ClienteDesafio_136,1,CD_04,CD_16
153,ClienteDesafio_153,1,CD_17,CD_00
170,ClienteDesafio_170,1,CD_06,CD_10
187,ClienteDesafio_187,1,CD_19,CD_08
204,ClienteDesafio_204,1,CD_09,CD_07
221,ClienteDesafio_221,1,CD_19,CD_11
238,ClienteDesafio_238,1,CD_05,CD_02
255,ClienteDesafio_255,1,CD_11,CD_01
272,ClienteDesafio_272,1,CD_00,CD_09
289,ClienteDesafio_289,1,CD_14,CD_06
306,ClienteDesafio_306,1,CD_14,CD_03
323,ClienteDesafio_323,1,CD_13,CD_19
340,ClienteDesafio_340,1,CD_15,CD_00
357,ClienteDesafio_357,1,CD_03,CD_17
374,ClienteDesafio_374,1,CD_12,CD_10
391,ClienteDesafio_391,1,CD_13,CD_03
408,ClienteDesafio_408,1,CD_14,CD_13
425,ClienteDesafio_425,1,CD_10,CD_15
442,ClienteDesafio_442,1,CD_04,CD_20
459,ClienteDesafio_459,1,CD_06,CD_14
476,ClienteDesafio_476,1,CD_03,CD_10
493,ClienteDesafio_493,1,CD_20,CD_00
510,ClienteDesafio_510,1,CD_08,CD_04
527,ClienteDesafio_527,1,CD_19,CD_11
544,ClienteDesafio_544,1,CD_02,CD_14
561,ClienteDesafio_561,1,CD_05,CD_10
578,ClienteDesafio_578,1,CD_07,CD_17
595,ClienteDesafio_595,1,CD_18,CD_07
612,ClienteDesafio_612,1,CD_06,CD_09
629,ClienteDesafio_629,1,CD_09,CD_14
646,ClienteDesafio_646,1,CD_16,CD_05
663,ClienteDesafio_663,1,CD_07,CD_09
680,ClienteDesafio_680,1,CD_05,CD_19
697,ClienteDesafio_697,1,CD_00,CD_08
714,ClienteDesafio_714,1,CD_06,CD_07
731,ClienteDesafio_731,1,CD_14,CD_03
748,ClienteDesafio_748,1,CD_09,CD_03
765,ClienteDesafio_765,1,CD_00,CD_09
782,ClienteDesafio_782,1,CD_20,CD_09
799,ClienteDesafio_799,1,CD_18,CD_17
816,ClienteDesafio_816,1,CD_13,CD_15
833,ClienteDesafio_833,1,CD_12,CD_00
850,ClienteDesafio_850,1,CD_01,CD_08
867,ClienteDesafio_867,1,CD_12,CD_07
884,ClienteDesafio_884,1,CD_10,CD_03
901,ClienteDesafio_901,1,CD_11,CD_15
918,ClienteDesafio_918,1,CD_16,CD_19
935,ClienteDesafio_935,1,CD_01,CD_05
952,ClienteDesafio_952,1,CD_13,CD_09
969,ClienteDesafio_969,1,CD_15,CD_11
986,ClienteDesafio_986,1,CD_08,CD_16
1003,ClienteDesafio_1003,1,CD_15,CD_06
1020,ClienteDesafio_1020,1,CD_11,CD_04
1037,ClienteDesafio_1037,1,CD_10,CD_12
1054,ClienteDesafio_1054,1,CD_00,CD_01
1071,ClienteDesafio_1071,1,CD_15,CD_02
1088,ClienteDesafio_1088,1,CD_18,CD_14
1105,ClienteDesafio_1105,1,CD_08,CD_11
1122,ClienteDesafio_1122,1,CD_06,CD_14
1139,ClienteDesafio_1139,1,CD_02,CD_03
1156,ClienteDesafio_1156,1,CD_15,CD_06
1173,ClienteDesafio_1173,1,CD_13,CD_16
1190,ClienteDesafio_1190,1,CD_09,CD_16
1207,ClienteDesafio_1207,1,CD_04,CD_06
1224,ClienteDesafio_1224,1,CD_16,CD_17
1241,ClienteDesafio_1241,1,CD_08,CD_20
1258,ClienteDesafio_1258,1,CD_10,CD_18
1275,ClienteDesafio_1275,1,CD_12,CD_14
1292,ClienteDesafio_1292,1,CD_11,CD_18
1309,ClienteDesafio_1309,1,CD_14,CD_12
1326,ClienteDesafio_1326,1,CD_10,CD_08
1343,ClienteDesafio_1343,1,CD_01,CD_03
1360,ClienteDesafio_1360,1,CD_10,CD_19
1377,ClienteDesafio_1377,1,CD_03,CD_06
1394,ClienteDesafio_1394,1,CD_19,CD_18
1411,ClienteDesafio_1411,1,CD_14,CD_05
1428,ClienteDesafio_1428,1,CD_07,CD_12
1445,ClienteDesafio_1445,1,CD_15,CD_17
1462,ClienteDesafio_1462,1,CD_18,CD_15
1479,ClienteDesafio_1479,1,CD_02,CD_18
1496,ClienteDesafio_1496,1,CD_07,CD_00
1513,ClienteDesafio_1513,1,CD_20,CD_02
1530,ClienteDesafio_1530,1,CD_14,CD_09
1547,ClienteDesafio_1547,1,CD_09,CD_08
1564,ClienteDesafio_1564,1,CD_11,CD_13
1581,ClienteDesafio_1581,1,CD_17,CD_00
1598,ClienteDesafio_1598,1,CD_04,CD_14
1615,ClienteDesafio_1615,1,CD_06,CD_16
1632,ClienteDesafio_1632,1,CD_03,CD_13
1649,ClienteDesafio_1649,1,CD_05,CD_17
1666,ClienteDesafio_1666,1,CD_14,CD_04
1683,ClienteDesafio_1683,1,CD_09,CD_01
1700,ClienteDesafio_1700,1,CD_20,CD_09
1717,ClienteDesafio_1717,1,CD_16,CD_06
1734,ClienteDesafio_1734,1,CD_00,CD_19
1751,ClienteDesafio_1751,1,CD_09,CD_20
1768,ClienteDesafio_1768,1,CD_06,CD_10
1785,ClienteDesafio_1785,1,CD_08,CD_16
1802,ClienteDesafio_1802,1,CD_17,CD_18
1819,ClienteDesafio_1819,1,CD_12,CD_17
1836,ClienteDesafio_1836,1,CD_04,CD_17
1853,ClienteDesafio_1853,1,CD_10,CD_15
1870,ClienteDesafio_1870,1,CD_11,CD_18
1887,ClienteDesafio_1887,1,CD_08,CD_05
1904,ClienteDesafio_1904,1,CD_07,CD_10
1921,ClienteDesafio_1921,1,CD_18,CD_11
1938,ClienteDesafio_1938,1,CD_18,CD_17
1955,ClienteDesafio_1955,1,CD_00,CD_02
1972,ClienteDesafio_1972,1,CD_18,CD_14
1989,ClienteDesafio_1989,1,CD_08,CD_15
2006,ClienteDesafio_2006,1,CD_16,CD_13
2023,ClienteDesafio_2023,1,CD_16,CD_20
2040,ClienteDesafio_2040,1,CD_03,CD_17
2057,ClienteDesafio_2057,1,CD_04,CD_17
2074,ClienteDesafio_2074,1,CD_01,CD_06
2091,ClienteDesafio_2091,1,CD_12,CD_10
2108,ClienteDesafio_2108,1,CD_01,CD_05
2125,ClienteDesafio_2125,1,CD_19,CD_14
2142,ClienteDesafio_2142,1,CD_03,CD_07
2159,ClienteDesafio_2159,1,CD_12,CD_07
2176,ClienteDesafio_2176,1,CD_09,CD_13
2193,ClienteDesafio_2193,1,CD_03,CD_13
2210,ClienteDesafio_2210,1,CD_20,CD_07
2227,ClienteDesafio_2227,1,CD_10,CD_16
2244,ClienteDesafio_2244,1,CD_18,CD_04
2261,ClienteDesafio_2261,1,CD_06,CD_03
2278,ClienteDesafio_2278,1,CD_07,CD_03
2295,ClienteDesafio_2295,1,CD_03,CD_10
2312,ClienteDesafio_2312,1,CD_11,CD_18
2329,ClienteDesafio_2329,1,CD_04,CD_09
2346,ClienteDesafio_2346,1,CD_20,CD_17
2363,ClienteDesafio_2363,1,CD_17,CD_06
2380,ClienteDesafio_2380,1,CD_02,CD_16
2397,ClienteDesafio_2397,1,CD_13,CD_03
2414,ClienteDesafio_2414,1,CD_06,CD_02
2431,ClienteDesafio_2431,1,CD_08,CD_15
2448,ClienteDesafio_2448,1,CD_17,CD_18
2465,ClienteDesafio_2465,1,CD_12,CD_01
2482,ClienteDesafio_2482,1,CD_08,CD_13
2499,ClienteDesafio_2499,1,CD_14,CD_12
2516,ClienteDesafio_2516,1,CD_19,CD_20
2533,ClienteDesafio_2533,1,CD_07,CD_09
2550,ClienteDesafio_2550,1,CD_13,CD_06
2567,ClienteDesafio_2567,1,CD_19,CD_02
2584,ClienteDesafio_2584,1,CD_19,CD_14
2601,ClienteDesafio_2601,1,CD_04,CD_10
2618,ClienteDesafio_2618,1,CD_20,CD_17
2635,ClienteDesafio_2635,1,CD_10,CD_13
2652,ClienteDesafio_2652,1,CD_06,CD_14
2669,ClienteDesafio_2669,1,CD_04,CD_07
2686,ClienteDesafio_2686,1,CD_16,CD_14
2703,ClienteDesafio_2703,1,CD_12,CD_06
2720,ClienteDesafio_2720,1,CD_02,CD_05
2737,ClienteDesafio_2737,1,CD_03,CD_20
2754,ClienteDesafio_2754,1,CD_12,CD_01
2771,ClienteDesafio_2771,1,CD_20,CD_00
2788,ClienteDesafio_2788,1,CD_20,CD_00
2805,ClienteDesafio_2805,1,CD_06,CD_08
2822,ClienteDesafio_2822,1,CD_15,CD_03
2839,ClienteDesafio_2839,1,CD_04,CD_12
2856,ClienteDesafio_2856,1,CD_11,CD_03
2873,ClienteDesafio_2873,1,CD_09,CD_10
2890,ClienteDesafio_2890,1,CD_03,CD_02
2907,ClienteDesafio_2907,1,CD_06,CD_13
2924,ClienteDesafio_2924,1,CD_18,CD_04
2941,ClienteDesafio_2941,1,CD_16,CD_07
2958,ClienteDesafio_2958,1,CD_19,CD_06
2975,ClienteDesafio_2975,1,CD_09,CD_16
2992,ClienteDesafio_2992,1,CD_10,CD_13
3009,ClienteDesafio_3009,1,CD_09,CD_00
3026,ClienteDesafio_3026,1,CD_07,CD_13
3043,ClienteDesafio_3043,1,CD_07,CD_01
3060,ClienteDesafio_3060,1,CD_08,CD_15
3077,ClienteDesafio_3077,1,CD_00,CD_10
3094,ClienteDesafio_3094,1,CD_02,CD_11
3111,ClienteDesafio_3111,1,CD_07,CD_17
3128,ClienteDesafio_3128,1,CD_13,CD_04
3145,ClienteDesafio_3145,1,CD_04,CD_12
3162,ClienteDesafio_3162,1,CD_01,CD_20
3179,ClienteDesafio_3179,1,CD_18,CD_00
3196,ClienteDesafio_3196,1,CD_18,CD_11
3213,ClienteDesafio_3213,1,CD_04,CD_01
3230,ClienteDesafio_3230,1,CD_13,CD_18
3247,ClienteDesafio_3247,1,CD_16,CD_08
3264,ClienteDesafio_3264,1,CD_09,CD_18
3281,ClienteDesafio_3281,1,CD_05,CD_16
3298,ClienteDesafio_3298,1,CD_15,CD_18
3315,ClienteDesafio_3315,1,CD_06,CD_12
3332,ClienteDesafio_3332,1,CD_09,CD_13
3349,ClienteDesafio_3349,1,CD_04,CD_12
3366,ClienteDesafio_3366,1,CD_02,CD_10
3383,ClienteDesafio_3383,1,CD_20,CD_01
3400,ClienteDesafio_3400,1,CD_07,CD_06
3417,ClienteDesafio_3417,1,CD_18,CD_02
3434,ClienteDesafio_3434,1,CD_05,CD_15
3451,ClienteDesafio_3451,1,CD_00,CD_01
3468,ClienteDesafio_3468,1,CD_16,CD_06
